"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",1.41246947022183,0.346604271464361,4.07516463733789,4.59818040959909e-05
"Prop.of.Male",-0.18320073581397,0.377311317992854,-0.485542646291462,0.627291469122904
"Prop.of.Age_25_40",0.133820158803361,0.224418723230815,0.596296765603317,0.550976991398436
"Prop.of.White",0.512866842313643,0.201540845897961,2.54472903509249,0.0109362565372077
"Prop.of.Asian",-0.0710341079438263,0.257360225505636,-0.276010435584075,0.782540051025283
"Median.Income",-0.00127063504266068,0.000940098688907774,-1.35159750529695,0.176504108823114
"Prop.of.College.Degree",0.767091909786418,0.240016803711773,3.19599252187188,0.00139350723441131
"Prop.of.Utilities.Jobs",0.00244528766891,0.114427039452794,0.0213698412595809,0.982950631258246
"Prop.of.Goods_Product.Jobs",0.0247293132325572,0.172169642680747,0.143633412066799,0.885789955202876
"Population.Density",0.00423053791345762,0.00126494849457795,3.34443491698778,0.000824503723002498
"Job.Density",-0.00820008320822211,0.00585626284785469,-1.40022458370803,0.16144607634085
"Prop.of.Car",-0.660630803955433,0.224165695813866,-2.94706467712161,0.00320806096567522
"Prop.of.Commercial",-0.0496375059718866,0.454215662318903,-0.109281801773353,0.912978980221258
"Prop.of.Industrial",-1.38033768186969,0.668564533550922,-2.06462893647432,0.0389581231665257
"Prop.of.Institutional",-0.157759522401351,0.356852942834397,-0.442085530101853,0.658427314843318
"Prop.of.Openspace",1.18461107909605,0.302710856438606,3.9133419033364,9.10275054578962e-05
"Prop.of.Residential",0.714195962443426,0.375194443901678,1.90353555083717,0.0569706994029135
"Road.Density",0.00380238890985701,0.00223723127032797,1.69959581751224,0.0892069776202437
"Bike.Route.Density",0.0352222238711116,0.0133318037855489,2.64196986677009,0.00824253888365828
"Transit.Ridership",-0.000726077370525514,0.00163203142602387,-0.444891782687337,0.656397961314899
"Distance.to.Nearest.Bike.Station",0.427567764865941,0.355439224883282,1.20292791265889,0.229004217741349
"Capacity",0.0252589901314715,0.00343921356079984,7.34440873907148,2.06670649375174e-13
"No.of.Cases",-0.875959724171414,0.15968212833378,-5.48564659872529,4.11959749891105e-08
